[2026-02-13 09:10:38,999] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET / HTTP/1.1" 200 512
[2026-02-13 09:10:39,023] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/manifest.27706562757206fc07fd.js HTTP/1.1" 200 1816
[2026-02-13 09:10:39,025] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/app.1ba323f58fa505a65f09.js HTTP/1.1" 200 26031
[2026-02-13 09:10:39,026] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/app.3653f32150f30f0233bf0ae74b804f89.css HTTP/1.1" 200 272388
[2026-02-13 09:10:39,087] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/vendor.a961cb56b9365ac34970.js HTTP/1.1" 200 1181037
[2026-02-13 09:10:39,168] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/6.773d895538456b016d8d.js HTTP/1.1" 200 3009
[2026-02-13 09:10:39,241] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 200 28200
[2026-02-13 09:10:39,280] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 512
[2026-02-13 09:10:48,573] [UserIP.py:88] [UserIP:process_response] [INFO]- 2026-02-13 09:10:48: None/AnonymousUser/None> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/api/login/'>
[2026-02-13 09:10:48,583] [log.py:228] [log:log_response] [WARNING]- Unauthorized: /api/login/
[2026-02-13 09:10:48,584] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /api/login/ HTTP/1.1" 401 33
[2026-02-13 09:10:48,613] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login HTTP/1.1" 200 512
[2026-02-13 09:10:48,694] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 512
[2026-02-13 09:10:53,175] [UserIP.py:88] [UserIP:process_response] [INFO]- 2026-02-13 09:10:53: None/AnonymousUser/None> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/api/login/'>
[2026-02-13 09:10:53,182] [log.py:228] [log:log_response] [WARNING]- Unauthorized: /api/login/
[2026-02-13 09:10:53,183] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /api/login/ HTTP/1.1" 401 33
[2026-02-13 09:10:53,212] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login HTTP/1.1" 200 512
[2026-02-13 09:10:53,276] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 512
[2026-02-13 09:11:21,626] [UserIP.py:88] [UserIP:process_response] [INFO]- 2026-02-13 09:11:21: None/AnonymousUser/None> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/api/login/'>
[2026-02-13 09:11:21,698] [log.py:228] [log:log_response] [WARNING]- Unauthorized: /api/login/
[2026-02-13 09:11:21,699] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /api/login/ HTTP/1.1" 401 33
[2026-02-13 09:11:21,746] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login HTTP/1.1" 200 512
[2026-02-13 09:11:21,793] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 512
[2026-02-13 09:11:23,363] [UserIP.py:88] [UserIP:process_response] [INFO]- 2026-02-13 09:11:23: None/AnonymousUser/None> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/api/login/'>
[2026-02-13 09:11:23,389] [log.py:228] [log:log_response] [WARNING]- Unauthorized: /api/login/
[2026-02-13 09:11:23,389] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /api/login/ HTTP/1.1" 401 33
[2026-02-13 09:11:23,429] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login HTTP/1.1" 200 512
[2026-02-13 09:11:23,478] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 512
[2026-02-13 09:11:26,967] [UserIP.py:88] [UserIP:process_response] [INFO]- 2026-02-13 09:11:26: None/AnonymousUser/None> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/api/login/'>
[2026-02-13 09:11:26,971] [log.py:228] [log:log_response] [WARNING]- Unauthorized: /api/login/
[2026-02-13 09:11:26,972] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /api/login/ HTTP/1.1" 401 33
[2026-02-13 09:11:26,993] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login HTTP/1.1" 200 512
[2026-02-13 09:11:27,042] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 512
