[2025-08-29 08:03:31,720] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:03:31: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 08:04:18,467] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:04:18: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 08:04:56,924] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:04:56: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 08:07:55,115] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:07:55: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 08:08:32,255] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:08:32: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 08:10:17,353] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:10:17: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 08:17:28,972] [UserIP.py:90] [UserIP:process_response] [CRITICAL]- 系统错误Expecting value: line 1 column 1 (char 0)
[2025-08-29 08:20:23,526] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:20:23: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 08:21:32,588] [UserIP.py:90] [UserIP:process_response] [CRITICAL]- 系统错误Expecting value: line 1 column 1 (char 0)
[2025-08-29 08:21:39,765] [UserIP.py:90] [UserIP:process_response] [CRITICAL]- 系统错误Expecting value: line 1 column 1 (char 0)
[2025-08-29 08:47:02,135] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 08:47:02: edwin/AnonymousUser/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/api/login/'>
[2025-08-29 10:31:04,325] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 10:31:04: edwin/AnonymousUser/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/api/login/'>
[2025-08-29 10:32:20,147] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 10:32:20: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 10:42:26,919] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 10:42:26: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
[2025-08-29 10:43:09,106] [UserIP.py:88] [UserIP:process_response] [INFO]- 2025-08-29 10:43:09: edwin/Admin/Admin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/IntelligentCabinet/cabinets/'>
